rsrp_min,rsrp_max,rsrp_mean,rsrp_std,rsrp_last,rsrp_slope_last5,rsrp_slope_all,rsrp_time_below_minus110,rsrq_min,rsrq_mean,rsrq_std,rsrq_slope_last5,sinr_min,sinr_mean,sinr_time_below_0,rain_mean,rain_max,tower_load_mean,tower_load_max,tower_load_high,speed_kmph_mean,speed_kmph_max,call_duration_sec,start_hour,band_5G_n78,band_LTE_B20,band_LTE_B3,is_drop
-86.3,-68.0,-79.74590163934427,4.866586149507247,-84.0,-0.029999999999989348,-0.12179458794994383,0,-14.8,-8.442622950819672,2.7838945914542834,0.9300000000000005,7.6,16.961475409836066,0,0.0,0.0,62.0,62,0,2.3,2.3,121,22,0,0,1,0
-80.5,-64.5,-73.23504273504274,4.846056159249021,-76.9,0.5900000000000108,-0.06144180721114338,0,-16.0,-8.335042735042736,2.854717238744906,-0.84,5.1,17.663675213675216,0,0.0,0.0,51.0,51,0,48.5,48.5,233,22,0,0,1,0
-78.2,-65.3,-70.99622641509434,3.0554140947151334,-71.7,-0.4099999999999964,0.020716503463100028,0,-16.8,-8.412578616352201,2.7903482414662464,1.5800000000000005,5.8,17.4188679245283,0,3.5999999999999996,3.6,30.0,30,0,1.7000000000000002,1.7,158,22,1,0,0,0
-74.1,-68.6,-71.11794871794872,1.3026030204478674,-73.4,-0.2699999999999919,-0.06182186234817746,0,-16.4,-8.253846153846153,3.368885974999838,0.9100000000000014,12.0,17.364102564102566,0,0.0,0.0,53.0,53,0,50.4,50.4,38,22,1,0,0,1
-88.2,-71.6,-81.42863636363636,4.294686953847543,-83.2,1.0200000000000153,-0.04868220417777174,0,-18.0,-9.246818181818181,3.007849527415988,0.14999999999999972,2.1,15.85818181818182,0,0.0,0.0,71.0,71,0,1.7,1.7,219,22,1,0,0,0
-125.0,-92.4,-104.87916666666666,9.505988220944605,-125.0,-1.259999999999985,-0.6590534085974814,14,-19.7,-11.360416666666666,3.5203203180739067,-0.2899999999999986,1.5,12.643749999999999,0,0.0,0.0,96.0,96,48,8.7,8.7,47,22,1,0,0,1
-76.4,-67.7,-72.73065693430657,2.108615451922802,-70.4,0.15000000000000344,-0.0017935482666569381,0,-16.6,-8.33065693430657,2.8121208775530877,0.660000000000001,8.6,17.51021897810219,0,0.0,0.0,65.0,65,0,2.2,2.2,136,22,0,0,1,0
-92.8,-84.1,-88.59710144927536,2.2612445177309914,-92.4,-0.16999999999999238,-0.08686518085495151,0,-16.5,-10.028985507246377,2.930373467930594,-1.6399999999999992,4.6,15.04782608695652,0,0.0,0.0,72.0,72,0,3.1,3.1,68,22,0,0,1,0
-84.6,-72.6,-78.2720930232558,3.426390964084464,-83.8,0.05000000000000816,-0.26436122017517266,0,-18.3,-8.844186046511629,3.0951038389828502,0.45000000000000134,3.5,16.648837209302325,0,0.0,0.0,42.0,42,0,117.89999999999999,117.9,42,22,0,1,0,0
-93.4,-83.6,-88.24444444444444,2.915285387211517,-92.4,0.17000000000000884,-0.20096179183135698,0,-16.4,-10.113333333333333,2.8872446758426653,-0.2399999999999994,2.2,13.92,0,0.0,0.0,38.0,38,0,2.1,2.1,44,22,0,0,1,0
-79.1,-67.0,-73.98325581395349,2.9595558211583946,-71.7,0.010000000000006974,-0.02311466106401976,0,-17.2,-8.443720930232558,3.0207607379226236,0.690000000000002,6.4,16.894418604651165,0,1.5,1.5,35.0,35,0,1.1,1.1,214,22,0,1,0,0
-125.0,-81.7,-98.60408163265306,13.39880217257736,-125.0,-1.259999999999985,-0.896030612244899,14,-18.1,-11.222448979591837,3.5195445554149503,0.41000000000000214,4.5,13.89795918367347,0,0.0,0.0,87.0,87,49,63.4,63.4,48,22,0,1,0,1
-103.2,-84.0,-97.69243697478991,4.448963462722029,-97.3,0.18000000000000627,-0.03640990742994974,0,-19.7,-10.755042016806723,2.8551300705477725,1.2000000000000024,1.4,13.866806722689077,0,0.0,0.0,83.0,83,238,0.7,0.7,237,22,0,1,0,0
-66.9,-44.0,-53.77,6.8582646681484345,-45.1,0.28000000000000275,0.10519661929489806,0,-16.0,-6.62047619047619,2.9632856718707696,-0.8499999999999994,8.1,19.603809523809524,0,0.0,0.0,52.0,52,0,0.9,0.9,209,22,0,1,0,0
-73.6,-66.0,-69.77319587628865,1.419764906002456,-70.4,-0.3199999999999986,0.020466021460130226,0,-14.6,-8.541237113402062,2.597264289005179,-0.9499999999999995,7.5,16.931958762886598,0,0.2,0.2,40.0,40,0,6.7,6.7,96,22,1,0,0,0
