rsrp_min,rsrp_max,rsrp_mean,rsrp_std,rsrp_last,rsrp_slope_last5,rsrp_slope_all,rsrp_time_below_minus110,rsrq_min,rsrq_mean,rsrq_std,rsrq_slope_last5,sinr_min,sinr_mean,sinr_time_below_0,rain_mean,rain_max,tower_load_mean,tower_load_max,tower_load_high,speed_kmph_mean,speed_kmph_max,call_duration_sec,start_hour,band_5G_n78,band_LTE_B20,band_LTE_B3
-86.8,-76.5,-83.02758620689654,2.789002057716535,-82.1,-0.0299999999999897,-0.0782532623751547,0,-15.4,-9.686206896551724,3.3467503298945926,-1.0799999999999996,5.7,15.69425287356322,0,0.0,0.0,46.0,46,0,0.3,0.3,86,10,0,0,1
-115.0,-77.8,-88.78571428571429,8.87134230461853,-107.0,1.9000000000000077,-0.3502392344497609,3,-19.4,-10.172727272727272,2.954819273288816,1.5400000000000016,6.2,15.615584415584417,0,0.0,0.0,73.0,73,0,118.5,118.5,76,16,1,0,0
-89.7,-77.2,-82.56633663366337,3.32374118209353,-88.0,0.2900000000000209,-0.0976959813628423,0,-17.7,-9.303960396039605,3.280119534165766,-0.3199999999999988,4.8,15.193069306930694,0,0.0,0.0,35.0,35,0,34.4,34.4,100,19,1,0,0
-72.1,-59.4,-64.13777777777777,2.4863636033882823,-63.5,0.0100000000000083,-0.001000105351875,0,-16.2,-7.550222222222222,2.80673813674414,-0.1099999999999989,6.5,17.788888888888888,0,0.0,0.0,77.0,77,0,4.2,4.2,224,13,1,0,0
-113.0,-68.2,-74.95968586387434,7.428295682248008,-105.0,0.1000000000000024,-0.0102624689997247,1,-17.5,-9.044502617801047,3.127292193229666,1.0900000000000003,5.2,16.7261780104712,0,0.6,0.6,50.0,50,0,41.9,41.9,190,0,1,0,0
-79.3,-67.2,-71.67922077922078,2.816581538689775,-74.9,-0.0899999999999881,-0.0204292334352306,0,-15.8,-8.337229437229437,3.13134213955546,0.3700000000000011,5.9,17.860606060606063,0,0.0,0.0,98.0,98,231,3.0,3.0,230,0,0,1,0
-79.6,-65.9,-73.88774509803922,3.6246959191266335,-67.4,-0.0099999999999968,0.0353815437024262,0,-16.5,-8.511764705882353,2.977925158526095,0.170000000000001,4.9,17.021568627450982,0,0.2,0.2,80.0,80,0,3.9,3.9,203,14,0,1,0
-92.4,-72.4,-81.81851851851852,6.205781664358495,-92.2,8.991881973169714e-15,-0.3878101772441386,0,-17.8,-9.194444444444445,3.4129286193834014,0.0400000000000005,-0.6,15.085185185185184,1,0.0,0.0,31.0,31,0,56.2,56.2,53,12,0,1,0
-95.7,-81.3,-89.00168067226892,3.5199187007482866,-95.7,-0.6799999999999853,-0.06007691212078,0,-16.1,-10.022689075630252,2.960114432476255,-1.2499999999999996,2.5,15.812605042016807,0,6.0,6.0,72.0,72,0,109.6,109.6,118,0,0,1,0
-87.8,-75.5,-79.96060606060607,2.191626838759513,-87.8,-1.0499999999999927,-0.0295905998763144,0,-15.8,-9.14949494949495,3.0014409375339777,0.5700000000000014,6.3,16.184848484848484,0,1.8000000000000005,1.8,51.0,51,0,76.9,76.9,98,8,0,0,1
-81.6,-71.6,-75.71764705882353,2.687499915347216,-75.9,-0.2699999999999967,0.0518673911937167,0,-17.0,-8.552941176470588,2.908938286884336,0.6000000000000021,9.1,16.988235294117647,0,0.0,0.0,81.0,81,102,4.4,4.4,101,11,0,1,0
-70.1,-61.1,-65.8686567164179,2.431373782716251,-68.1,0.480000000000009,-0.0748024582967522,0,-16.7,-7.195522388059702,3.1756379858093746,-0.4499999999999994,6.9,18.094029850746267,0,0.0,0.0,79.0,79,0,7.6,7.6,66,22,0,0,1
-77.2,-68.3,-72.65263157894738,2.6671917453650327,-76.3,-0.0299999999999923,-0.2314914104387779,0,-15.7,-8.394736842105264,3.190945582842182,-0.6899999999999996,9.7,17.221052631578946,0,0.0,0.0,45.0,45,0,2.5,2.5,37,5,1,0,0
-74.1,-59.9,-66.55390625,3.222482594193788,-66.3,0.4000000000000096,0.0304468618384913,0,-16.2,-7.98984375,3.1906813096089977,-0.4599999999999992,7.9,18.28359375,0,0.0,0.0,38.0,38,0,4.3,4.3,127,13,0,1,0
-99.4,-83.2,-91.49453125,4.576941670387995,-98.0,0.2100000000000115,-0.1170083890313127,0,-18.1,-10.38125,2.976753767466497,2.0100000000000016,2.6,15.61484375,0,2.5,2.5,40.0,40,0,2.9,2.9,127,7,0,0,1
-89.3,-75.4,-82.63454545454545,3.8419804803872313,-86.9,-0.0599999999999892,-0.1009553005883286,0,-14.5,-8.905454545454546,2.725914924720508,-0.6099999999999992,4.6,15.942727272727272,0,2.2,2.2,69.0,69,0,9.3,9.3,109,9,1,0,0
-100.2,-78.0,-90.31641791044775,5.460785575764483,-94.9,-0.0699999999999922,-0.0744276636618887,0,-18.5,-10.031343283582087,2.7499023049132423,0.6400000000000009,2.4,15.14676616915423,0,0.0,0.0,30.0,30,0,5.6,5.6,200,8,0,1,0
-114.0,-75.1,-85.51435185185184,6.583476677208286,-101.0,2.5000000000000093,-0.0890969766251089,3,-20.0,-9.725462962962965,2.941388656150162,0.2300000000000008,4.7,15.686574074074075,0,0.9,0.9,25.0,25,0,1.7,1.7,215,20,1,0,0
-94.8,-78.0,-88.50176991150443,3.126971763391259,-88.8,-0.2199999999999952,-0.0112721271425415,0,-19.9,-9.461946902654867,2.711893756819992,-0.5699999999999988,3.3,15.078761061946905,0,0.0,0.0,42.0,42,0,9.5,9.5,225,12,0,0,1
-107.9,-75.7,-92.67914110429447,10.584308523095189,-106.6,0.2100000000000087,-0.2149469909832025,0,-17.9,-10.13680981595092,3.1612225533024394,0.199999999999999,3.5,14.782208588957054,0,0.0,0.0,63.0,63,0,2.6,2.6,162,22,0,0,1
-86.2,-77.7,-82.2313043478261,1.8984003061391896,-77.7,0.6500000000000109,0.0323924879665432,0,-16.9,-8.761739130434783,2.856343589850482,0.4600000000000017,4.9,15.92608695652174,0,1.6,1.6,63.0,63,0,33.9,33.9,114,11,0,0,1
-70.4,-62.9,-67.02692307692308,1.7755352271566394,-68.5,0.2799999999999987,-0.0174998975815594,0,-14.8,-7.473076923076923,2.910893425852728,0.140000000000001,10.5,18.475384615384616,0,1.6,1.6,61.0,61,0,2.2,2.2,129,12,1,0,0
-72.4,-60.6,-67.18412698412698,2.774707556904405,-66.4,0.5100000000000049,0.0146872500399935,0,-15.4,-7.926984126984127,2.9006349093614454,1.090000000000001,7.2,17.95714285714286,0,0.0,0.0,28.0,28,0,5.1,5.1,188,13,0,1,0
-88.0,-79.0,-83.75882352941177,2.5351011750844314,-84.9,0.2400000000000078,-0.2135370511841108,0,-16.7,-9.93529411764706,3.341736289120516,-0.589999999999998,6.1,15.179411764705884,0,0.0,0.0,31.0,31,0,9.2,9.2,33,3,0,0,1
-78.7,-70.3,-74.00892857142857,2.123913778913756,-75.8,-0.359999999999996,-0.1042959671907035,0,-14.9,-7.810714285714285,3.0728534900688924,0.5400000000000007,6.5,17.37857142857143,0,2.2,2.2,68.0,68,0,3.2,3.2,55,20,0,0,1
